step,epoch,loss,eval_loss
2150,2.3642611683848798,,0.6510775685310364
2160,2.375257731958763,0.5967,
2160,2.375257731958763,,0.650666356086731
2170,2.386254295532646,0.5724,
2170,2.386254295532646,,0.6505599021911621
2180,2.397250859106529,0.5774,
2180,2.397250859106529,,0.6505720615386963
2190,2.4082474226804123,0.5593,
2190,2.4082474226804123,,0.6507272720336914
2200,2.4192439862542954,0.6014,
2200,2.4192439862542954,,0.650405764579773
2210,2.430240549828179,0.6074,
2210,2.430240549828179,,0.6501883864402771
2220,2.441237113402062,0.5676,
2220,2.441237113402062,,0.6500746607780457
2230,2.452233676975945,0.6128,
2230,2.452233676975945,,0.6500810980796814
2240,2.4632302405498283,0.583,
2240,2.4632302405498283,,0.6501343846321106
2250,2.4742268041237114,0.563,
2250,2.4742268041237114,,0.6499639749526978
2260,2.4852233676975946,0.5996,
2260,2.4852233676975946,,0.6495621800422668
2270,2.4962199312714777,0.5639,
2270,2.4962199312714777,,0.6497360467910767
2280,2.507216494845361,0.6163,
2280,2.507216494845361,,0.6494210958480835
2290,2.518213058419244,0.5749,
2290,2.518213058419244,,0.6497526168823242
2300,2.529209621993127,0.5657,
2300,2.529209621993127,,0.6494240164756775
2310,2.54020618556701,0.5646,
2310,2.54020618556701,,0.6496238708496094
2320,2.5512027491408933,0.5335,
2320,2.5512027491408933,,0.6496935486793518
2330,2.5621993127147764,0.612,
2330,2.5621993127147764,,0.6496380567550659
2340,2.5731958762886595,0.5849,
2340,2.5731958762886595,,0.6496196389198303
2350,2.584192439862543,0.5784,
2350,2.584192439862543,,0.6495980620384216
